"Bill_Dt","Vch_Nbr","Vch_Entries_Nbr","Ptf_Id","Accting_Peroid","Vch_Catg","Coa_Id","Ccy_Cd","Ex_Rate","Recnclt_Ind","Txn_Amt_Occy","Txn_Amt_Dccy","Db_Cr_Ind","Txn_Qty","Unit_Prc","Vch_Src_Cd","Vch_Memo","Occur_Dt","Bill_Tm","Accessory_Qty","Posting_Ind","Secu_Txn_Mode","Src_Ptf_Id","Assist_Accting_Cd","Vch_Assoc_Nbr","In_Memo_Nbr","Biz_Ref_Nbr","GMS_Vch_Nbr","Remarks","Reserve1","Reserve2","Bill_Usr_Id","Chk_Usr_Id","Upd_Usr_Id","Posting_Usr_Id","Cfm_Usr_Id","Bond_Cd","Exchange_Cd"
"20191010","598","1","Z00295","201910"," ","64040000001","CNY"," "," ","137.6900","137.6900","D","0.000000","0E-16","RCJT_YYSZ","(2019-10-10)[计提运营费用][托管费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","599","2","Z00295","201910"," ","22060000001","CNY"," "," ","1376.8800","1376.8800","C","0.000000","0E-16","RCJT_YYSZ","(2019-10-10)[计提运营费用][管理费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","599","1","Z00295","201910"," ","64030000001","CNY"," "," ","1376.8800","1376.8800","D","0.000000","0E-16","RCJT_YYSZ","(2019-10-10)[计提运营费用][管理费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","603","1","Z00295","201910"," ","11023199002607","CNY"," "," ","10788.0000","10788.0000","C","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][002607 SZ_中公教育]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","603","2","Z00295","201910"," ","6101.01.33","CNY"," "," ","-10788.0000","-10788.0000","C","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][002607 SZ_中公教育]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","604","1","Z00295","201910"," ","11021199601888","CNY"," "," ","127484.0000","127484.0000","D","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][601888 SH_中国国旅]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","604","2","Z00295","201910"," ","6101.01.01","CNY"," "," ","127484.0000","127484.0000","C","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][601888 SH_中国国旅]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","605","1","Z00295","201910"," ","11023199000651","CNY"," "," ","350751.1500","350751.1500","D","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][000651 SZ_格力电器]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","605","2","Z00295","201910"," ","6101.01.33","CNY"," "," ","350751.1500","350751.1500","C","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][000651 SZ_格力电器]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","606","1","Z00295","201910"," ","11023199300059","CNY"," "," ","9716.0000","9716.0000","D","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][300059 SZ_东方财富]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","606","2","Z00295","201910"," ","6101.01.34","CNY"," "," ","9716.0000","9716.0000","C","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][300059 SZ_东方财富]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","607","1","Z00295","201910"," ","11023199002311","CNY"," "," ","9328.0000","9328.0000","D","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][002311 SZ_海大集团]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","607","2","Z00295","201910"," ","6101.01.33","CNY"," "," ","9328.0000","9328.0000","C","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][002311 SZ_海大集团]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","608","1","Z00295","201910"," ","11023199002241","CNY"," "," ","30952.0000","30952.0000","D","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][002241 SZ_歌尔股份]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","608","2","Z00295","201910"," ","6101.01.33","CNY"," "," ","30952.0000","30952.0000","C","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][002241 SZ_歌尔股份]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","609","1","Z00295","201910"," ","11023199300755","CNY"," "," ","950.0000","950.0000","C","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][300755 SZ_华致酒行]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","609","2","Z00295","201910"," ","6101.01.34","CNY"," "," ","-950.0000","-950.0000","C","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][300755 SZ_华致酒行]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","610","1","Z00295","201910"," ","11023199000661","CNY"," "," ","480058.0200","480058.0200","D","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][000661 SZ_长春高新]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","610","2","Z00295","201910"," ","6101.01.33","CNY"," "," ","480058.0200","480058.0200","C","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][000661 SZ_长春高新]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","611","1","Z00295","201910"," ","11021199600009","CNY"," "," ","45355.0000","45355.0000","D","0.000000","0E-16","ZCGZ_ZQKC","(2019-10-10)[证券库存估值][交易类][600009 SH_上海机场]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
